USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
163,Andromeda,HD 1605,,HD 1605,,,,1605,1640,00h 20m 32.00s,+30° 58′ 29.00″,7.52,2.88,276,K1IV,has two planets (b & c),5.133,30.969,Adromedae,HD 1605 Adromedae
164,Andromeda,HD 13931,,HD 13931,,,,13931,10626,02h 16m 47.38s,+43° 46′ 22.8″,7.52,4.3,144,G0,has a planet (b),34.196,43.773,Adromedae,HD 13931 Adromedae
165,Andromeda,HD 5583,,HD 5583,,,,5583,,00h 57m 57.00s,+34° 59′ 08.00″,7.6,0.88,721,K0,has a planet (b),14.488,34.986,Adromedae,HD 5583 Adromedae
166,Andromeda,RW And,,RW,,,RW,4489,,00h 47m 18.92s,+32° 41′ 08.6″,7.9,-0.52,1375,"M5e-M10e(S6,2e)","Mira variable, Vmax = 7.9m, Vmin = 15.7m, P = 430 d",11.825,32.686,Adromedae,RW Adromedae
167,Andromeda,GRB 34,,HD 1326,,,,1326,1475,00h 18m 22.90s,+44° 01′ 22.00″,8.01,10.25,11.62,M6Ve + M1Ve,"16th closest star system, binary; both components GQ and GX And flare stars",4.592,44.017,Adromedae,HD 1326 Adromedae
168,Andromeda,HD 15082,,HD 15082,,,,15082,11397,02h 26m 51.06s,+37° 33′ 01.7″,8.3,3,377,A5,has a transiting planet WASP-33b,36.713,37.550,Adromedae,HD 15082 Adromedae
169,Andromeda,Z And,,Z,,,Z,221650,116287,23h 33m 39.95s,+48° 49′ 05.9″,10.53,2.38,1393,M2III + B1eq,"prototype of Z And variables, Vmax = 7.7m, Vmin = 11.3m",353.413,48.818,Adromedae,Z Adromedae
170,Andromeda,HAT-P-6,, ,,,,,,23h 39m 05.81s,+42° 27′ 57.5″,10.54,4.03,650,F,Sterrennacht; has a transiting planet (b),354.771,42.466,Adromedae,  Adromedae
171,Andromeda,HAT-P-16,, ,,,,,,00h 38m 17.56s,+42° 27′ 47.2″,10.8,3.9,766,F8,has a transiting planet (b),9.571,42.463,Adromedae,  Adromedae
172,Andromeda,HAT-P-32,, ,,,,,,02h 01m 10.00s,+46° 41′ 16.00″,11.29,3.76,1044,F/G,has a transiting planet (b),30.292,46.685,Adromedae,  Adromedae
173,Andromeda,WASP-1,,W-1,,,,,,00h 20m 40.08s,+31° 59′ 23.8″,11.79,3.89,1239,F7V,has a transiting planet (b),5.167,31.990,Adromedae,W-1 Adromedae
174,Andromeda,Ross 248,, ,,,,,,23h 41m 54.99s,+44° 10′ 40.8″,12.29,14.79,10.32,M6e,"HH And; 8th closest star system, flare star",355.475,44.178,Adromedae,  Adromedae
175,Andromeda,HAT-P-19,, ,,,,,,00h 38m 04.00s,+34° 42′ 42.00″,12.9,6.24,701,K,has a transiting planet (b),9.517,34.701,Adromedae,  Adromedae
176,Andromeda,HAT-P-28,, ,,,,,,00h 52m 00.00s,+34° 43′ 42.00″,13.03,5.05,1288,G3,has a transiting planet (b),13.000,34.717,Adromedae,  Adromedae
177,Andromeda,HAT-P-53,, ,,,,,,01h 27m 29.00s,+38° 58′ 05.00″,13.73,4.45,2345,,has a transiting planet (b),21.871,38.968,Adromedae,  Adromedae
178,Andromeda,S And,,S,,,S,,,00h 42m 43.11s,+41° 16′ 04.2″,,,2600000,Ia,"SN 1885A; BD+40°147a; type Ia supernova in the Andromeda Galaxy, Vmax = 5.8m, Vmin = < 16m",10.679,41.268,Adromedae,S Adromedae
