USID,Constellation,Name,B,B->F->VAR->G,F,G.,Var,HD,HIP,RA,Dec,"vis. mag.","abs. mag.",Dist. (ly),Sp. class,Notes https://en.wikipedia.org/wiki/Lists_of_stars_by_constellation,RA angle,Dec Angle,Latin Constellation,Full Designation
10301,Taurus,,,HD 27901,,,,27901,20614,04h 24m 57.06s,+19° 02′ 31.5″,5.97,2.52,160,F4V,member of the Hyades star cluster,66.238,19.042,Tauri,HD 27901 Tauri
10302,Taurus,,,HD 30912,,,,30912,22697,04h 52m 47.09s,+27° 53′ 51.3″,5.97,0.81,352,F2IV,,73.196,27.898,Tauri,HD 30912 Tauri
10303,Taurus,,,HD 30197,,,,30197,22176,04h 46m 16.78s,+18° 44′ 05.5″,5.99,1.16,302,K4III,,71.567,18.735,Tauri,HD 30197 Tauri
10304,Taurus,V1141 Tau,,V1141,,,V1141,27742,20493,04h 23m 32.36s,+20° 58′ 55.7″,6,0.15,482,B8IV-V,,65.883,20.982,Tauri,V1141 Tauri
10305,Taurus,129 Tau,,129,129,,,38478,27265,05h 46m 45.49s,+15° 49′ 21.0″,6,−1.15,879,B8IIIMNp...,,86.688,15.823,Tauri,129 Tauri
10306,Taurus,85 Tau,,85,85,,,28677,21137,04h 31m 51.69s,+15° 51′ 05.9″,6.01,2.75,147,F4V...,member of the Hyades star cluster,67.963,15.851,Tauri,85 Tauri
10307,Taurus,59 G. Tau,,59 G,,59,,28930,21269,04h 33m 48.18s,+09° 24′ 49.0″,6.01,0.21,470,G8III,,68.450,9.414,Tauri,59 G Tauri
10308,Taurus,V1116 Tau,,V1116,,,V1116,29169,21459,04h 36m 29.07s,+23° 20′ 27.5″,6.01,2.78,144,F5IV,δ Sct variable; member of the Hyades star cluster,69.121,23.341,Tauri,V1116 Tauri
10309,Taurus,,,HD 26015,,,,26015,19261,04h 07m 41.91s,+15° 09′ 46.2″,6.02,2.66,153,F3V,member of the Hyades star cluster,61.921,15.163,Tauri,HD 26015 Tauri
10310,Taurus,,,HD 21051,,,,21051,15850,03h 24m 10.11s,+12° 37′ 46.7″,6.03,0.27,462,K0III-IV,,51.042,12.629,Tauri,HD 21051 Tauri
10311,Taurus,,,HD 38670,,,,38670,27421,05h 48m 22.36s,+20° 52′ 10.3″,6.03,−0.28,595,B9Vn,,87.092,20.869,Tauri,HD 38670 Tauri
10312,Taurus,,,HD 39970,,,,39970,28154,05h 56m 56.12s,+24° 14′ 58.9″,6.03,,,A0Ia,,89.233,24.249,Tauri,HD 39970 Tauri
10313,Taurus,,,HD 23950,,,,23950,17921,03h 49m 55.06s,+22° 14′ 39.3″,6.05,1.08,321,B8III,,57.479,22.244,Tauri,HD 23950 Tauri
10314,Taurus,33 Tau,,33,33,,V817,24769,18485,03h 57m 03.80s,+23° 10′ 32.1″,6.05,−0.01,531,B9.5IV,V817 Tau,59.263,23.176,Tauri,33 Tauri
10315,Taurus,V1143 Tau,,V1143,,51,V1143,28114,20715,04h 26m 21.10s,+08° 35′ 25.0″,6.06,−0.25,597,B6IV,β Cep variable,66.588,8.590,Tauri,V1143 Tauri
10316,Taurus,,,HD 23258,,,,23258,17453,03h 44m 28.19s,+20° 55′ 43.6″,6.09,1.72,243,A0V,,56.117,20.929,Tauri,HD 23258 Tauri
10317,Taurus,24 G. Tau,,24 G,,24,,24817,18481,03h 57m 01.70s,+06° 02′ 24.5″,6.09,1.7,246,A2Vn,,59.254,6.040,Tauri,24 G Tauri
10318,Taurus,,,HD 26546,,,,26546,19641,04h 12m 31.32s,+17° 16′ 39.0″,6.09,1.38,285,K0III,,63.129,17.278,Tauri,HD 26546 Tauri
10319,Taurus,96 Tau,,96,96,,,30605,22441,04h 49m 44.08s,+15° 54′ 15.3″,6.09,−2.09,1411,K3III,,72.433,15.904,Tauri,96 Tauri
10320,Taurus,110 Tau,,110,110,,,35189,25216,05h 23m 37.72s,+16° 41′ 57.7″,6.09,0.41,445,A2IV,,80.904,16.699,Tauri,110 Tauri
10321,Taurus,11 Tau,,11,11,,,22805,17181,03h 40m 46.30s,+25° 19′ 46.3″,6.11,0.09,522,A2IV,,55.192,25.329,Tauri,11 Tauri
10322,Taurus,,,HD 27429,,,,27429,20255,04h 20m 25.04s,+18° 44′ 33.8″,6.11,2.73,154,F3:V...,member of the Hyades star cluster,65.104,18.743,Tauri,HD 27429 Tauri
10323,Taurus,14 G. Tau,,14 G,,14,,22819,17120,03h 39m 59.55s,-01° 07′ 16.4″,6.12,0.56,421,G5,,54.996,-0.879,Tauri,14 G Tauri
10324,Taurus,,,HD 34579,,,,34579,24820,05h 19m 14.71s,+20° 08′ 04.8″,6.12,0.51,431,G8III+...,,79.808,20.134,Tauri,HD 34579 Tauri
10325,Taurus,14 Tau,,14,14,,,23183,17408,03h 43m 47.14s,+19° 39′ 54.6″,6.13,0.99,347,G8III,,55.946,19.665,Tauri,14 Tauri
10326,Taurus,,,HD 22072,,,,22072,16641,03h 34m 08.32s,+17° 50′ 00.9″,6.14,3,138,K1IVe...,,53.533,17.833,Tauri,HD 22072 Tauri
10327,Taurus,V1137 Tau,,V1137,,,V1137,26571,19672,04h 12m 51.25s,+22° 24′ 48.5″,6.14,−1.36,1032,B9IIIsp...,α² CVn variable,63.213,22.413,Tauri,V1137 Tauri
10328,Taurus,53 G. Tau,,53 G,,53,,28322,20848,04h 28m 03.62s,+01° 51′ 30.9″,6.14,0.99,349,G9III,,67.013,1.858,Tauri,53 G Tauri
10329,Taurus,,,HD 27483,,,,27483,20284,04h 20m 52.66s,+13° 51′ 52.1″,6.15,2.84,150,F6V...,member of the Hyades star cluster,65.217,13.864,Tauri,HD 27483 Tauri
10330,Taurus,,,HD 23923,,,,23923,17900,03h 49m 43.52s,+23° 42′ 43.1″,6.17,0.84,380,B8V,,57.429,23.712,Tauri,HD 23923 Tauri
